"mcode","munnom","madr1","madr2","madr3","madr4","mcodpos","mcourriel","mweb","mtel","mfax","mcodedesi","mdes","mgentile","regadm","divrec","mrc","admregionale","horsmrcautoch","mdatcons","mdatregi","msuperf","mpopul","datelec","electype","delectype","elecmode","delecmode","divter","mcm","mcirc","msupft","maire","con1","con2","con3","con4","con5","con6","con7","con8","con9","con10","con11","con12","con13","con14","con15","con16","con17","con18","con19","con20","con21","con22","con23","con24","con25","con26","con27","con28","con29","con30","con31","con32","con33","con34","con35","con36","con37","con38","con39","con40","con41","con42","con43","con44","con45","con46","con47","con48","con49","con50","con51","con52","con53","con54","con55","con56","con57","con58","con59","con60","con61","con62","con63","con64","con65","con66","con67","con68","con69","con70","con71","con72","con73","con74","con75","dirgen","dirsecpub","tres","gref","sectres","polic","incen","loisir","trvpub","mesurg","urban","communic","permis","batim","nd"
"93042","Alma","140, rue Saint-Joseph S.","Alma","140, rue Saint-Joseph S.","Alma","G8B3R1","info@ville.alma.qc.ca","www.ville.alma.qc.ca","4186695000","4186695029","10","Ville","Almatois, oise*","Saguenay--Lac-Saint-Jean (02)","Lac-Saint-Jean-Est (93)","MRC Lac-Saint-Jean-Est (930)","","","2001-02-21","","232.63","30649","2025-11-02","B","En bloc / tout le conseil","E","Élection","District","","Lac-Saint-Jean (926)","194.95","Sylvie Beaumont","Yves Gilbert","Louis Leclerc","François Carrier","Frédéric Tremblay","Véronique Fortin","Bianka Villeneuve","Audrée Villeneuve","Alain Fortin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Frédéric Lemieux","","Yves Thériault","Annie Aubin","","","Maxime Fortin","Émilie Guertin","Karine Morel","","","Jean Briand","","",""
"78070","Amherst","124, rue Saint-Louis","Amherst","124, rue Saint-Louis","Amherst","J0T2L0","info@municipalite.amherst.qc.ca","www.municipalite.amherst.qc.ca","8196813372","0000000000","01","Canton","","Laurentides (15)","Les Laurentides (78)","MRC Les Laurentides (780)","","","1887-03-09","","249.53","1622","2025-11-02","B","En bloc / tout le conseil","E","Élection","District","","Labelle (594)","227.78","Jean-Guy Galipeau","Luc Tremblay","Robert Cardinal","Robert Laperrière","Daniel Lampron","Caroline Champoux","Yves Duval","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Martin Léger","","","","Martin Léger","","","","Guylain Charlebois","Martin Léger","","","France Granger","",""
"88055","Amos","182, 1re Rue E.","Amos","182, 1re Rue E.","Amos","J9T2G1","saf@amos.quebec","www.amos.quebec","8197323254","8197279792","10","Ville","Amossois, oise*","Abitibi-Témiscamingue (08)","Abitibi (88)","MRC Abitibi (880)","","","1987-01-17","","437.38","12757","2025-11-02","B","En bloc / tout le conseil","E","Élection","Sans division","","Abitibi-Ouest (642)","427.87","Sébastien D'Astous","Mario Bébard","Martin Roy","Nathalie Michaud","Pierre Deshaies","Mario Brunet","Annie Quenneville","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Patrick Rodrigue","","Richard Michaud","Claudyne Maurice","","","Guy Béchard","Bernard Blais","Mario Grenier","","","Catherine Langlois","","",""
"07047","Amqui","20, promenade Marcel-Rioux","Amqui","20, promenade Marcel-Rioux","Amqui","G5J1A1","administration@amqui.ca","www.amqui.ca","4186294242","4186294090","10","Ville","Amquien, ienne","Bas-Saint-Laurent (01)","La Matapédia (07)","MRC La Matapédia (070)","","","1991-01-16","","128.27","6129","2025-11-02","B","En bloc / tout le conseil","E","Élection","District","","Matane-Matapédia (842)","122.41","Sylvie Blanchette","Elaine A. Guilbault","Sarah-Josée Fournier","Pier-Luc Denoncourt","Égide Charest","Richard Leclerc","Luc Daigle","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Guillaume Viel","","Karine Dostie","","","","","Charles-Antoine Gonthier","Stéphane Chiasson","Guillaume Viel","","Charles-Antoine Gonthier","Bruno Caron","",""
"55008","Ange-Gardien","249, rue Saint-Joseph","Ange-Gardien","249, rue Saint-Joseph","Ange-Gardien","J0E1E0","info@municipalite.ange-gardien.qc.ca","www.municipalite.ange-gardien.qc.ca","4502937575","4502936635","05","Municipalité","Gardangeois, oise*","Montérégie (16)","Rouville (55)","MRC Rouville (550)","","","1997-12-31","","90.29","3021","2025-11-02","B","En bloc / tout le conseil","E","Élection","District","","Iberville (210)","89.99","Yvan Pinsonneault","Rhéal Grenier","Éric Ménard","Jonathan Alix","Charles Choquette","Benoit Pépin","Marie-Eve Goos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Brigitte Vachon","","","","Brigitte Vachon","","Philippe Chartrand","Jennie Rainville","Jean-Pierre Racicot","Brigitte Vachon","","","","",""
"19037","Armagh","5, rue de la Salle","Armagh","5, rue de la Salle","Armagh","G0R1A0","info@armagh.ca","www.armagh.ca","4184662916","4184662409","05","Municipalité","Armageois, oise*","Chaudière-Appalaches (12)","Bellechasse (19)","MRC Bellechasse (190)","","","1993-12-29","","170.59","1449","2025-11-02","B","En bloc / tout le conseil","E","Élection","Sans division","","Bellechasse (822)","169.19","Suzie Bernier","Marie-Ève Caron","Jean-François Labrecque","Nicolas Guillemette","Mélanie Bolduc","Guylain Chamberland","Christian Therrien","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sylvie Vachon","","","","Sylvie Vachon","","Claude Morin","Poste Vacant","Alain Dubé","Sylvie Vachon","","","Frederic Larue","",""
"78060","Arundel","2, rue du Village","Arundel","2, rue du Village","Arundel","J0T1A0","info@arundel.ca","www.arundel.ca","8196813390","8196878760","01","Canton","Arundelite","Laurentides (15)","Les Laurentides (78)","MRC Les Laurentides (780)","","","1878-01-01","","66.83","607","2025-11-02","B","En bloc / tout le conseil","E","Élection","Sans division","","Argenteuil (520)","63.67","Pascale Blais","Jonathan Morgan","Richard E Dubeau","Danny Paré","Tamara Rathwell","Carole Brandt","Marc Poirier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Philip Toone","","","","Philip Toone","","","","Paul Williams","","","","","",""
"41055","Ascot Corner","5655, route 112","Ascot Corner","5655, route 112","Ascot Corner","J0B1A0","ascot.corner@hsfqc.ca","www.ascot-corner.com","8195608560","8195608561","05","Municipalité","Ascotois, oise*","Estrie (05)","Le Haut-Saint-François (41)","MRC Le Haut-Saint-François (410)","","","1901-03-28","","85.45","3546","2025-11-02","B","En bloc / tout le conseil","E","Élection","Sans division","","Mégantic (104)","84.08","Nathalie Bresse","Gina Castelli","Sylvie Boucher","Alain Marc Rondeau","Stéphane Baillargeon","Lisa Cadorette","Hélène Bédard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Jonathan Piché","","","","Jonathan Piché","","Dany Robitaille","","Julien-Carl Roux","Jonathan Piché","","","","",""
"50013","Aston-Jonction","1300, rue Principale","Aston-Jonction","1300, rue Principale","Aston-Jonction","G0Z1A0","dg@aston-jonction.ca","www.aston-jonction.ca","8194891158","0000000000","05","Municipalité","Astonnais, aise*","Centre-du-Québec (17)","Nicolet-Yamaska (50)","MRC Nicolet-Yamaska (500)","","","1997-03-26","","25.99","456","2025-11-02","B","En bloc / tout le conseil","E","Élection","Sans division","","Nicolet-Bécancour (150)","25.9","Christine Gaudet","Liliane St-Hilaire","Benoit Lussier","Line Pellerin","François Page","","René St-Pierre","Saul Bergeron","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","François Noël","","","","","","","","","","","","Anne-Marie Désilets","",""
"13045","Auclair","681, rue du Clocher","Auclair","681, rue du Clocher","Auclair","G0L1A0","dg@municipaliteauclair.ca","www.municipaliteauclair.ca","4188992834","4188996958","05","Municipalité","Auclairois, oise*","Bas-Saint-Laurent (01)","Témiscouata (13)","MRC Témiscouata (130)","","","1954-01-01","","109.72","461","2025-11-02","B","En bloc / tout le conseil","E","Élection","Sans division","","Rivière-du-Loup--Témiscouata (834)","104.41","Bruno Bonesso","Stéphan Dubé","Cynthia Dumont","Émilie Belzile","Jérémy Robert","Michaël Fortin","Claudia Lavoie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Dominique Létourneau","","","","Dominique Létourneau","","Normand Robert","Mélyna Pelletier","","Normand Robert","","Dominique Létourneau","Audrey Dubé","",""
"30055","Audet","238, rue Principale","Audet","238, rue Principale","Audet","G0Y1A0","dg@munaudet.qc.ca","www.munaudet.qc.ca","8195831596","8195835938","05","Municipalité","Audettois, oise","Estrie (05)","Le Granit (30)","MRC Le Granit (300)","","","1903-11-26","","133.75","717","2025-11-02","B","En bloc / tout le conseil","E","Élection","Sans division","","Mégantic (104)","133.3","Danièle Provencher","Marthe Bélanger","Samuel Bédard","Germain Fortin","André Béliveau","Stéphanie Leblanc","Byanca Bouffard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","France Larochelle","","","","France Larochelle","","Marco Turcotte","","","","","","Valérie Martel","Valérie Martel",""
"83090","Aumond","664, route Principale","Aumond","664, route Principale","Aumond","J0W1W0","dg@aumond.ca","www.aumond.ca","8194494006","8194497448","01","Canton","Aumondois, oise*","Outaouais (07)","La Vallée-de-la-Gatineau (83)","MRC La Vallée-de-la-Gatineau (830)","","","1877-12-12","","227.62","783","2025-11-02","B","En bloc / tout le conseil","E","Élection","Sans division","","Gatineau (614)","213.09","Mario Langevin","Barry Ardis","Ariane Guilbault","Gaétan Gagné","Robert Piché","Sébastien Lafrenière","Anne Lévesque","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Maude Tourangeau","","","","Maude Tourangeau","","Cédrick Lévesque Plouffe","","Jacques Marinier","Maude Tourangeau","","","Pascal Richard","Pascal Richard",""
"99105","Aupaluk","C.P. 5","Aupaluk","C.P. 5","Aupaluk","J0M1X0","secretary.treasurer@aupaluk.ca","www.nvaupaluk.ca","8194917070","8194917035","09","Village nordique","Aupalummiuq, miuq","Nord-du-Québec (10)","Nord-du-Québec (99)","","Administration régionale Kativik (992)","","1980-02-02","","32.73","230","2024-11-06","B","En bloc / tout le conseil","E","Élection","","","Ungava (938)","28.65","Georges Eetook","Maggie Akpahatak","Nuna Akpahatak","Janice Grey Scott","Maggie Grey","Jessica Kulula","Edward Saluarsiak","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Eva Grey","","","","","","","","","",""
"99891","Aupaluk","","","","","","","","0000000000","0000000000","23","Terre de la catégorie I","","Nord-du-Québec (10)","Nord-du-Québec (99)","","Administration régionale Kativik (992)","","1995-05-02","","594.02","0","","B","En bloc / tout le conseil","","","","","Ungava (938)","523.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45085","Austin","21, chemin Millington","Austin","21, chemin Millington","Austin","J0B1B0","info@municipalite.austin.qc.ca","www.municipalite.austin.qc.ca","8198432388","8198438211","05","Municipalité","Austinois, oise*","Estrie (05)","Memphrémagog (45)","MRC Memphrémagog (450)","","","1938-11-05","","86.17","1880","2025-11-02","B","En bloc / tout le conseil","E","Élection","Sans division","","Orford (120)","73.95","Lisette Maillé","Victor Dingman","Claire Rocher","François Tanguay","Poste Vacant","Pierre Henrichon","Bernard Jeansonne","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Fortin Manon","","","","Manon Fortin","","Paul Robitaille","","Stephen Nicholson","Paul Robitaille","","","Stephen Nicholson","",""
"87050","Authier","597, avenue Principale","Authier","597, avenue Principale","Authier","J0Z1C0","authier@mrcao.qc.ca","authier.ao.ca","8197823093","8197823203","05","Municipalité","Authiérois, oise*","Abitibi-Témiscamingue (08)","Abitibi-Ouest (87)","MRC Abitibi-Ouest (870)","","","1918-09-20","","143.54","293","2025-11-02","B","En bloc / tout le conseil","E","Élection","Sans division","","Abitibi-Ouest (642)","142.3","Yvon Gagné","Nathalie Gaudette","Angèle Auger","Cindy Demers","Ghislain Desaulniers","Véronique Hince","François Deschênes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Rachel Barbe","","","","Rachel Barbe","","Ghislain Mélançon","","Poste Vacant","Rachel Barbe","","","Poste Vacant","",""
"87100","Authier-Nord","452, rue Principale","Authier-Nord","452, rue Principale","Authier-Nord","J0Z1E0","direction@authiernord.ca","authier-nord.ao.ca","8197823914","0000000000","05","Municipalité","Authiernordois, oise*","Abitibi-Témiscamingue (08)","Abitibi-Ouest (87)","MRC Abitibi-Ouest (870)","","","1983-01-01","","285.69","295","2025-11-02","B","En bloc / tout le conseil","E","Élection","Sans division","","Abitibi-Ouest (642)","277.98","Fernand Major","Luc Raby","Jean-Marc Neveu","Michelle D'Amours","Sylvain Caron","Florence Duguay","Serge Lefebvre","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Martine Plourde","","","","Martine Plourde","","","","","","","","","",""
"45035","Ayer's Cliff","958, rue Main","Ayer's Cliff","958, rue Main","Ayer's Cliff","J0B1C0","info@ayerscliff.ca","www.ayerscliff.ca","8198385006","8198384411","06","Village","Ayer's-Cliffois, oise","Estrie (05)","Memphrémagog (45)","MRC Memphrémagog (450)","","","1909-02-04","","7.42","1230","2025-11-02","B","En bloc / tout le conseil","E","Élection","Sans division","","Orford (120)","5.51","Simon Roy","Patrick Proulx","Caroline Paul","Peter James McHarg","Nancy Vanasse","France Coulombe","Michael Crook","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bastien Lefebvre","","","","Bastien Lefebvre","","Dany Brus","","","Bastien Lefebvre","","","Pierre-David Lataille","",""
"62920","Baie-Atibenne","","","","","","","","0000000000","0000000000","25","Territoire non organisé","","Lanaudière (14)","Matawinie (62)","MRC Matawinie (620)","","","1986-01-01","","642.54","0","","B","En bloc / tout le conseil","","","","","Berthier (566)","532.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96020","Baie-Comeau","2, place La Salle","Baie-Comeau","2, place La Salle","Baie-Comeau","G4Z1K3","greffebc@ville.baie-comeau.qc.ca","www.ville.baie-comeau.qc.ca","4182968109","4182968194","10","Ville","Baie-Comois, oise*","Côte-Nord (09)","Manicouagan (96)","MRC Manicouagan (960)","","","1982-06-23","","434.54","20684","2025-11-02","B","En bloc / tout le conseil","E","Élection","District","","René-Lévesque (906)","334.64","Michel Desbiens","Sylvain Girard","Joannie Lajeunesse","Alain Charest","Carole Deschênes","Odette Lavigne","Michel Beaulieu","Lysandre St-Pierre","Marc Rainville","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","François Corriveau","","Jeanie Caron","Annick Tremblay","","","Alain Miville","","Ghislain Gauthier","François Corriveau","","Mathieu Pineault","Audrey-Anne Hudon","",""
"62906","Baie-de-la-Bouteille","","","","","","","","0000000000","0000000000","25","Territoire non organisé","","Lanaudière (14)","Matawinie (62)","MRC Matawinie (620)","","","1986-01-01","","2180.1","9","","B","En bloc / tout le conseil","","","","","Berthier (566)","1937.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79920","Baie-des-Chaloupes","","","","","","","","0000000000","0000000000","25","Territoire non organisé","","Laurentides (15)","Antoine-Labelle (79)","MRC Antoine-Labelle (790)","","","1986-01-01","","956.69","0","","B","En bloc / tout le conseil","","","","","Labelle (594)","885.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"08080","Baie-des-Sables","20, rue du Couvent","Baie-des-Sables","C.P. 39","Baie-des-Sables","G0J1C0","baiedessables@lamatanie.ca","www.municipalite.baiedessables.ca","4187726218","4187726455","05","Municipalité","Baie-des-Sablien, ienne*","Bas-Saint-Laurent (01)","Matane (08)","MRC La Matanie (080)","","","1859-01-01","","65.37","620","2025-11-02","B","En bloc / tout le conseil","E","Élection","Sans division","","Matane-Matapédia (842)","65.08","Gérald Beaulieu","Denis Forest","Nicole Marcheterre","Gabrielle Trigaux","Kate Johannie Murray St-Pierre","Christian Chaumont","Marie-Claude Saucier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Adam Coulombe","","","","Adam Coulombe","","","","André Bernier","Adam Coulombe","","","Adam Coulombe","",""
"99904","Baie-d'Hudson","","","","","","","","0000000000","0000000000","25","Territoire non organisé","","Nord-du-Québec (10)","Nord-du-Québec (99)","","Administration régionale Kativik (992)","","","","156562.07","5","","B","En bloc / tout le conseil","","","","","Ungava (938)","120706.92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50100","Baie-du-Febvre","298, route Marie-Victorin","Baie-du-Febvre","C.P. 10","Baie-du-Febvre","J0G1A0","municipalite@baie-du-febvre.net","www.baie-du-febvre.net","8195196422","8195196423","05","Municipalité","Baievillois, oise*","Centre-du-Québec (17)","Nicolet-Yamaska (50)","MRC Nicolet-Yamaska (500)","","","1983-03-26","","173.36","979","2025-11-02","B","En bloc / tout le conseil","E","Élection","Sans division","","Nicolet-Bécancour (150)","96.88","Claude Lefebvre","Sylvain Pronovost","Audrey-Claude Benoit","Marcelle Trottier","Nicolas Dujardin","Colette Fréchette Beausoleil","Geneviève Gauthier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Maryse Baril","","","","Maryse Baril","","Jonathan Lanoue","","","Maryse Baril","","","Martin Miron","",""
